gat_kodas,tipas,pavadinimas,gyvenamoji_vietove._id
1136209,gatvė,Juozo Matulio,a738ca1a-c634-4b92-a37a-78176b64f368
1136213,gatvė,Gulbinio,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1136228,gatvė,Tumelinos,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1136232,gatvė,Saulės,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1136247,gatvė,Ryto,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1136266,gatvė,Patrimpo,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1136285,gatvė,Laimės,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1136304,gatvė,Teliavelio,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1136338,gatvė,Ąžuolų,66799f53-d2e9-4279-b211-8081fb0db1bf
1136342,gatvė,Karlų,7cbf14b7-d3f2-4740-b55d-bd2de5adce12
1136357,gatvė,Kukuižės,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1136414,gatvė,Ąžuolų,cedf66b7-ccfe-4fde-bf98-58fca86c2e52
1136433,gatvė,Julijono Lindės-Dobilo,de8159e8-7be8-4876-b884-334c855b471c
1136448,gatvė,Parko,8b5345dd-e1f9-4045-b495-ce5bc039985b
1136471,gatvė,Didžprūžio,f573c957-d48d-4b9a-96d0-f063c11a6ec1
1136486,gatvė,Šventupės,5d6b8d95-5d94-42b8-953f-6ecbd5741f6c
1136668,gatvė,Sodiečių 1-oji,9d99eadd-e68e-4c20-97e9-4b6787a2e3de
1136672,gatvė,Šaltinio,63a22f4e-fe92-4db8-a04d-720601d2a241
1136725,gatvė,Tilto,3f096564-3bcc-4478-91f7-749887e86615
1137239,gatvė,Apušoto,3cf9b2d5-ca71-42f3-a0dd-b8839e5adec7
1137482,gatvė,Mėnulio,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1137497,gatvė,Perkūno,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1137516,gatvė,Dūkšto,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1137573,gatvė,Juozo Skripkos,de8159e8-7be8-4876-b884-334c855b471c
1137588,gatvė,Kalno,de8159e8-7be8-4876-b884-334c855b471c
1137592,gatvė,Pušų,de8159e8-7be8-4876-b884-334c855b471c
1137683,gatvė,Svedasų,bff29686-dc28-4110-82f8-30890071c424
1137789,gatvė,Pušyno,c9a461d5-933f-4d02-8519-32995f46805c
1137922,gatvė,Tilto,af09c9eb-de0d-416e-beed-4eb49305085e
1138474,gatvė,Kupiškio,74881e2a-48b6-4305-9f00-d890ace4b0b5
1138804,gatvė,Ryto,229c602b-cb0a-45ec-818d-42432430d096
1138823,gatvė,Gabijos,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1138838,gatvė,Žemynos,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1138842,gatvė,Aušrinės,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1138857,gatvė,Laimos,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1138861,gatvė,Paežerės,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1139011,gatvė,Beržų,4d4a836b-332a-4b48-b0c5-ed4aa35bbfa2
1139102,gatvė,Svirplių,fa8a258c-ae4e-4104-9ffc-c2572118d6e9
1139246,gatvė,Tilto,3f437b22-9f32-44f5-9d56-cbfbf763c746
1139284,gatvė,Liaudės,2ed7e29c-2f8b-46a2-a430-57b6a9960c73
1139337,gatvė,Vaidatonių,3c9a2801-5f26-4bc0-9f11-997f1e7a1b00
1139341,gatvė,Kalno,8b3321a3-dcc2-4a26-b99c-0d7fd5547e62
1139356,gatvė,Berželės,2b94896c-fcbc-412b-ac42-aa809c533d87
1139394,gatvė,Žaros,d14b4dc1-e2dc-4234-a36a-5eba469cf8b1
1139409,gatvė,Ilgoji,7aba807f-3e93-40e2-937a-e9307dd3fa1a
1139413,gatvė,Vingio,7aba807f-3e93-40e2-937a-e9307dd3fa1a
1139428,gatvė,Smėlio,7aba807f-3e93-40e2-937a-e9307dd3fa1a
1139432,gatvė,Ąžuolų,7db13733-7d2b-47a2-aa5e-dcf3ee10534e
1139447,gatvė,Šilo,7db13733-7d2b-47a2-aa5e-dcf3ee10534e
1140064,gatvė,Šetekšnos,890e3ed1-822a-4c9f-86f8-b4013e90fe94
1140079,gatvė,Karjero,3a19cf6a-3e7c-49f9-9e1a-befbd5e59755
1140083,gatvė,Marių,95231d67-5fac-43fb-b3f8-0012f65fcd0e
1140246,gatvė,Paulenkos,5659612c-bb30-4d84-86be-c560f7531dfa
1141295,gatvė,Beržynėlio,9aca1533-93bc-4ec8-9a1d-449d87ab7f94
1141314,gatvė,Pyvesos,3f9ab44d-35f2-42ec-8f8a-decacea1ce07
1141371,gatvė,Aluoties,bff29686-dc28-4110-82f8-30890071c424
1141424,gatvė,Ežerėlio,ae904b4a-8ec9-4340-9ebc-5b2df3d59965
1141625,gatvė,Ąžuolų,fd0aaaff-ffd4-4bb4-87c0-45ce76dc8cdd
1142382,gatvė,Lėvens,3a19cf6a-3e7c-49f9-9e1a-befbd5e59755
1142492,gatvė,Liepų,25954ec2-7722-4a72-a6e7-e6706356471c
1142507,gatvė,Samanytės,fd0aaaff-ffd4-4bb4-87c0-45ce76dc8cdd
1142511,gatvė,Marnakos,3cf9b2d5-ca71-42f3-a0dd-b8839e5adec7
1142545,gatvė,Ramioji,39621ce5-826e-4924-93cf-ff97cdb4441e
1142564,gatvė,Pievų,39621ce5-826e-4924-93cf-ff97cdb4441e
